NOME_PARLAMENTAR;PARTIDO;UF
Acir Gurgacz;PDT;RO
Alessandro Vieira;PSDB;SE
Alexandre Silveira;PSD;MG
Alvaro Dias;PODEMOS;PR
Angelo Coronel;PSD;BA
Antonio Anastasia;PSD;MG
Arolde de Oliveira;PSD;RJ
Carlos Fávaro;PSD;MT
Carlos Portinho;PL;RJ
Carlos Viana;PL;MG
Chico Rodrigues;UNIÃO;RR
Chiquinho Feitosa;DEM;CE
Cid Gomes;PDT;CE
Ciro Nogueira;PP;PI
Confúcio Moura;MDB;RO
Daniella Ribeiro;PSD;PB
Dario Berger;PSB;SC
Davi Alcolumbre;UNIÃO;AP
Diego Tavares;PP;PB
Donizeti Nogueira;PT;TO
Dra. Eudócia;PSB;AL
Eduardo Braga;MDB;AM
Eduardo Girão;PODEMOS;CE
Eduardo Gomes;PL;TO
Eduardo Velloso;UNIÃO;AC
Eliane Nogueira;PP;PI
Eliziane Gama;CIDADANIA;MA
Elmano Férrer;PP;PI
Esperidião Amin;PP;SC
Fabiano Contarato;PT;ES
Fabio Garcia;UNIÃO;MT
Fátima Bezerra;PT;RN
Fernando Bezerra Coelho;MDB;PE
Fernando Collor;PTB;AL
Flávio Arns;PODEMOS;PR
Flávio Bolsonaro;PL;RJ
Gilberto Piselo;PDT;RO
Giordano;MDB;SP
Gladson Cameli;PP;AC
Guaracy Silveira;PP;TO
Humberto Costa;PT;PE
Irajá;PSD;TO
Ivete Da Silveira;MDB;SC
Izalci Lucas;PSDB;DF
Jader Barbalho;MDB;PA
Jaques Wagner;PT;BA
Jarbas Vasconcelos;MDB;PE
Jayme Campos;UNIÃO;MT
Jean Paul Prates;PT;RN
Jorge Kajuru;PODEMOS;GO
Jorginho Mello;PL;SC
José Amauri;PODEMOS;PI
José Aníbal;PSDB;SP
José Maranhão;MDB;PB
José Serra;PSDB;SP
Juíza Selma;PODEMOS;MT
Julio Ventura;PDT;CE
Kátia Abreu;PP;TO
Lasier Martins;PODEMOS;RS
Leila Barros;PDT;DF
Lucas Barreto;PSD;AP
Luis Carlos Heinze;PP;RS
Luiz Do Carmo;PSC;GO
Luiz Pastore;MDB;ES
Mailza Gomes;PP;AC
Major Olimpio;PSL;SP
Mara Gabrilli;PSDB;SP
Marcelo Castro;MDB;PI
Marcio Bittar;UNIÃO;AC
Marcos Do Val;PODEMOS;ES
Marcos Rogério;PL;RO
Margareth Buzetti;PP;MT
Maria Das Vitórias;PSD;AC
Maria Do Carmo Alves;PP;SE
Maria Eliza de Aguiar e Silva;MDB;RO
Mecias De Jesus;REPUBLICANOS;RR
Nailde Panta;PP;PB
Nelsinho Trad;PSD;MS
Ney Suassuna;REPUBLICANOS;PB
Nilda Gondim;MDB;PB
Ogari Pacheco;UNIÃO;TO
Omar Aziz;PSD;AM
Oriovisto Guimarães;PODEMOS;PR
Otto Alencar;PSD;BA
Pastor Valadares;PDT;RO
Paulo Albuquerque;PSD;AP
Paulo Paim;PT;RS
Paulo Rocha;PT;PA
Pinto Itamaraty;PSDB;MA
Plínio Valério;PSDB;AM
Prisco Bezerra;PDT;CE
Rafael Tenorio;MDB;AL
Randolfe Rodrigues;REDE;AP
Reguffe;S/Partido;DF
Renan Calheiros;MDB;AL
Renilde Bulhões;PROS;AL
Ricardo Franco;DEM;SE
Roberth Bringel;UNIÃO;MA
Roberto Rocha;PTB;MA
Rodrigo Cunha;UNIÃO;AL
Rodrigo Pacheco;PSD;MG
Rogério Carvalho;PT;SE
Romário;PL;RJ
Ronaldo Caiado;DEM;GO
Rose De Freitas;MDB;ES
Rudson Leite;PV;RR
Sérgio Petecão;PSD;AC
Simone Tebet;MDB;MS
Siqueira Campos;DEM;TO
Soraya Thronicke;UNIÃO;MS
Styvenson Valentim;PODEMOS;RN
Tasso Jereissati;PSDB;CE
Telmário Mota;PROS;RR
Thieres Pinto;PTB;RR
Vanderlan Cardoso;PSD;GO
Veneziano Vital Do Rêgo;MDB;PB
Virginio De Carvalho;DEM;SE
Wellington Fagundes;PL;MT
Weverton Rocha;PDT;MA
Zenaide Maia;PROS;RN
Zequinha Marinho;PL;PA
